TenTinh,dan so,dan so thanh thi,grdp_binh quan,nam
Đồng Tháp,1600.2,325.8,68.6,2023
An Giang,1906.3,705.3,58.8,2023
Kiên Giang,1755.3,528.7,73,2023
Cần Thơ,1258.9,887.8,94.8,2023
Hậu Giang,728.3,204.7,82.1,2023
Sóc Trăng,1198.8,406,60.5,2023
Bạc Liêu,925.2,256.8,64.7,2023
Cà Mau,1207.4,278.4,66,2023
Hà Nội,8717.6,4280.8,160.1,2024
Vĩnh Phúc,1225.3,416.6,131.9,2024
Bắc Ninh,1546.6,787.9,131.9,2024
Quảng Ninh,1396.5,968.3,264.1,2024
Hải Dương,1978.2,630.5,104.6,2024
Hải Phòng,2124.5,970.3,205.7,2024
Hưng Yên,1318.1,225.2,123.5,2024
Thái Bình,1890.4,224.5,69.4,2024
Hà Nam,894.2,257,109.4,2024
Nam Định,1894.2,388,57.8,2024
Ninh Bình,1030.3,224.7,94,2024
Hà Giang,911.4,148.6,37.5,2024
Cao Bằng,558.5,142.2,43.9,2024
Bắc Kạn,329.3,80.9,56.9,2024
Tuyên Quang,820.3,159.2,59.9,2024
Lào Cai,792.2,215,94.1,2024
Yên Bái,864.4,181.3,54.5,2024
Thái Nguyên,1365.2,556.1,122.6,2024
Lạng Sơn,814,192.3,62.4,2024
Bắc Giang,1962.6,475.5,105.5,2024
Phú Thọ,1543.9,301.3,69.2,2024
Điện Biên,656.7,99.8,47.7,2024
Lai Châu,495.5,87.6,54.9,2024
Sơn La,1330.6,191.7,53.3,2024
Hòa Bình,894.5,234.1,75,2024
Thanh Hóa,3764.2,1058.2,79.2,2024
Nghệ An,3472.3,546,61.2,2024
Hà Tĩnh,1329.8,300.4,84.6,2024
Quảng Bình,924.8,217.3,65.2,2024
Quảng Trị,659.2,216,82.4,2024
Thừa Thiên - Huế,1178.6,622.6,68.6,2024
Đà Nẵng,1276,1120.5,112.9,2024
Quảng Nam,1543.9,474.8,74,2024
Quảng Ngãi,1259.9,280.9,104.3,2024
Bình Định,1518.5,627.8,85.9,2024
Phú Yên,885.2,292.1,74.3,2024
Khánh Hòa,1269.3,538.1,102.1,2024
Ninh Thuận,612.7,221.7,100.8,2024
Bình Thuận,1266.2,488.8,101.3,2024
Kon Tum,601.8,194.8,65.9,2024
Gia Lai,1634.9,482.8,67.9,2024
Đắk Lắk,1946.2,507.8,69.3,2024
Đắk Nông,695.7,120,77.1,2024
Lâm Đồng,1362.5,540.4,96.3,2024
Bình Phước,1062.3,312.9,104.1,2024
Tây Ninh,1202.8,391.7,99.2,2024
Bình Dương,2870.6,2464.3,174.7,2024
Đồng Nai,3365.4,1526.6,142.3,2024
Bà Rịa - Vũng Tàu,1194.6,741.8,320.6,2024
TP. Hồ Chí Minh,9543.6,7428.6,182.5,2024
Long An,1756.2,326.8,103.3,2024
Tiền Giang,1796.1,302.6,75,2024
Bến Tre,1306.3,174.7,55.9,2024
Trà Vinh,1023.9,189,93.4,2024
Vĩnh Long,1037.3,237.8,78.5,2024
Đồng Tháp,1601.1,328.6,75.7,2024
An Giang,1912.6,706.5,65.6,2024
Kiên Giang,1766.7,527.3,80.3,2024
Cần Thơ,1271.7,898.7,103.7,2024
Hậu Giang,730,205.2,99.6,2024
Sóc Trăng,1205.3,411.1,66.2,2024
Bạc Liêu,928.7,257.9,70.6,2024
Cà Mau,1212,284.9,73.3,2024
